Ref,Val,Package,PosX,PosY,Rot,Side
"R1","100K","R_0603_1608Metric",36.173221,53.984740,270.000000,bottom
"R2","100","R_0603_1608Metric",42.581641,45.448220,270.000000,bottom
"R3","120","R_0603_1608Metric",24.942800,15.202400,270.000000,bottom
"S6","CAN_RESISTOR_SW","SW_DS04-254-2-01BK-SMT",24.956121,6.626980,270.000000,bottom
